commonName,geneName,modality,DNA_ID,targetPop
CD3,CD3D,ADT,A0034,T cell
CD3,CD3D,RNA,,T cell
CD4,CD4,ADT,A0072,CD4 T cell
CD4,CD4,RNA,,CD4 T cell
CD8,CD8A,ADT,A0046,CD8 T cell
CD8,CD8A,RNA,,CD8 T cell
CD45RA,PTPRC,ADT,A0063,T cell flavor
CD45RO,PTPRC,ADT,A0087,T cell flavor
CD27,CD27,ADT,A0154,T cell/B cell
CD27,CD27,RNA,,T cell/B cell
CD127,IL7R,ADT,A0390,T cell flavor
CD127,IL7R,RNA,,T cell flavor
CCR7,CCR7,RNA,,T cell flavor
CD62L,SELL,ADT,A0147,T cell flavor
CD62L,SELL,RNA,,T cell flavor
CD28,CD28,ADT,A0386,T cell flavor
CD28,CD28,RNA,,T cell flavor
CD69,CD69,ADT,A0146,T cell/B cell
CD69,CD69,RNA,,T cell/B cell
CD25,IL2RA,ADT,A0085,T cell/B cell
CD25,IL2RA,RNA,,T cell/B cell
FoxP3,FoxP3,RNA,,T cell
Helios,IKZF2,RNA,,T cell
Tbet,TBX21,RNA,,T cell/B cell
Tox,TOX,RNA,,T cell
RORC,RORC,RNA,,T cell
CXCR5,CXCR5,ADT,A0144,T cell/B cell
CXCR5,CXCR5,RNA,,T cell/B cell
CD19,CD19,ADT,A0050,B cell
CD19,CD19,RNA,,B cell
CD20,MS4A1,ADT,A0100,B cell
CD20,MS4A1,RNA,,B cell
CD21,CR2,ADT,A0181,B cell
CD21,CR2,RNA,,B cell
IgM,IGHM,ADT,A0136,B cell
IgM,IGHM,RNA,,B cell
IgD,IGHD,ADT,A0384,B cell
IgD,IGHD,RNA,,B cell
CD24,CD24,ADT,A0180,B cell
CD24,CD24,RNA,,B cell
CD38,CD38,ADT,A0389,Plasmablast
CD38,CD38,RNA,,Plasmablast
TNFRSF17,TNFRSF17,RNA,,Plasmablast
CD56,NCAM1,ADT,A0047,NK cell
CD56,NCAM1,RNA,,NK cell
CD16,FCGR3A,ADT,A0083,NK cell/Monocyte
CD16,FCGR3A,RNA,,NK cell/Monocyte
CD161,KLRB1,ADT,A0149,NK/T
CD161,KLRB1,RNA,,NK/T
CD14,CD14,ADT,A0081,Monocyte
CD14,CD14,RNA,,Monocyte
LYZ,LYZ,RNA,,Monocyte
GNLY,GNLY,RNA,,Monocyte
CD11c,ITGAX,ADT,A0053,DC
CD11c,ITGAX,RNA,,DC
HLA-DR,HLA-DRA,ADT,A0159,DC/B
HLA-DR,HLA-DRA,RNA,,DC/B