commonName,geneName,modality,DNA_ID
CD27,CD27,ADT,A0154
CD27,CD27,RNA,
CD127,IL7R,ADT,A0390
CD127,IL7R,RNA,
CCR7,CCR7,RNA,
CD62L,SELL,ADT,A0147
CD62L,SELL,RNA,
CD45RA,PTPRC,ADT,A0063
CD45RO,PTPRC,ADT,A0087
CD28,CD28,ADT,A0386
CD28,CD28,RNA,
CD69,CD69,ADT,A0146
CD69,CD69,RNA,
PD1,PDCD1,ADT,A0088
PD1,PDCD1,RNA,
CXCR3,CXCR3,ADT,A0140
CXCR3,CXCR3,RNA,
CCR5,CCR5,ADT,A0141
CCR5,CCR5,RNA,
CCR6,CCR6,ADT,A0143
CCR6,CCR6,RNA,
Perforin,PRF1,RNA,
GZMB,GZMB,RNA,
GZMK,GZMK,RNA,
Ikaros,IKZF1,RNA,
Helios,IKZF2,RNA,
Tbet,TBX21,RNA,
EOMES,EOMES,RNA,
Tox,TOX,RNA,
TCF1,TCF7,RNA,
LEF1,LEF1,RNA,
CCL5,CCL5,RNA,
IFNG,IFNG,RNA,