gene,modality,adt_number ,Heatmap,cluster,comparison,source,notes
LOC100129410,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC1720,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC220077,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
LOC339290,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MAGEA8,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MAGEB3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MCM10,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MEIS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MFAP3L,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MGC3771,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MGC4859,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MMP26,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MOCOS,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MORC1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MYCT1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MYEF2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NAT8B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NAV3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NCKAP1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NCRNA00287,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NCRNA00328A,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NDST3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NEB,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NES,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NPHS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NQO1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NTRK2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NXPH4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
OR7A5,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
OR7E36P,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
OVOL2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PALLD,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PCDHB12,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PCSK1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PDZK1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PDZRN4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PLCB3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PLK4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PMF1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PPP1R13L,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PRO2964,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PTPN21,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PTPRJ,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RAI14,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RASGRF1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RASSF9,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RBMS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RDX,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RIMS1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RPRM,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RPS16,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RUNX2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SCGB1D1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SCGN,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SEMA6D,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SEZ6L,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLAMF1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLC6A6,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLCO1B3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLCO1C1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNAI2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNAP91,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNRPN,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNTG2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SORBS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SOX30,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SPAG11B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SPC25,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
STAG3L4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
STMN3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
STS,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SVIL,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SYN2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SYNJ1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SYT11,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
TAS2R9,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
TNIK,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
TRGV5,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
TRIM36,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
TRIM58,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
TSC22D3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
USP9Y,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
VAX2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
VGLL3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
VIPR2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
WDHD1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
WDR76,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
WHSC2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZBED2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZFPM2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF154,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF155,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF395,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF440,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF444,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF446,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF473,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF507,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZNF606,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
ZPBP,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
CD80,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
PDL2,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
CD44,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
SELL,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
NT5E,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
CD21,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
CCR2,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
CEACAM21,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
BCL6,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
BACH2,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
MYC,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
PRDM1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
IRF4,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
IRF8,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
STAT6,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
STAT4,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
POU2AF1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
MEF2B,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
MEF2C,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
NFKB1 ,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
TNFRSF13C,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
E2F1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
TCF3,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
YY1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
BLIMP1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
TBX21,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
FOXO1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
CDKN1A,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
CDKN2A,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
HHEX,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
SKI,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
KLF2,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
Tle3,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
RUNX1,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
RUNX3,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
IL9R,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
STAT3,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
STAT5,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
ZBTB32,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
PAX5,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,
 IL21R,RNA,,4,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2,